Tamanho,Threshold,MediaCPU,DesvioCPU,MediaReal,DesvioReal,Algoritmo
3,100,0.00000100,0.00000000,0.00000200,0.00000000,Merge+Bubble
5,100,0.00000100,0.00000000,0.00000100,0.00000000,Merge+Bubble
10,28,0.00000000,0.00000000,0.00000000,0.00000000,Merge+Bubble
20,50,0.00000000,0.00000000,0.00000100,0.00000000,Merge+Bubble
40,8,0.00000000,0.00000000,0.00000000,0.00000000,Merge+Bubble
80,18,0.00000100,0.00000000,0.00000100,0.00000000,Merge+Bubble
160,8,0.00000300,0.00000100,0.00000300,0.00000100,Merge+Bubble
320,8,0.00000200,0.00000100,0.00000300,0.00000000,Merge+Bubble
640,8,0.00000500,0.00000100,0.00000600,0.00000100,Merge+Bubble
1280,16,0.00002600,0.00000100,0.00002600,0.00000100,Merge+Bubble
2560,6,0.00007300,0.00000200,0.00007300,0.00000200,Merge+Bubble
5120,4,0.00017400,0.00000600,0.00017400,0.00000600,Merge+Bubble
10240,6,0.00039800,0.00000600,0.00039800,0.00000600,Merge+Bubble
20480,8,0.00088800,0.00001100,0.00088800,0.00001100,Merge+Bubble
40960,8,0.00190300,0.00002400,0.00190300,0.00002500,Merge+Bubble
81920,6,0.00410800,0.00004100,0.00410900,0.00004100,Merge+Bubble
163840,6,0.00855600,0.00007100,0.00855900,0.00007300,Merge+Bubble
327680,6,0.01806900,0.00014000,0.01807200,0.00014000,Merge+Bubble
655360,6,0.03801300,0.00018100,0.03801900,0.00018400,Merge+Bubble
1310720,8,0.08003600,0.00023600,0.08004800,0.00023700,Merge+Bubble
2621440,6,0.16853100,0.00039300,0.16856700,0.00040400,Merge+Bubble
5242880,6,0.35365400,0.00072300,0.35373500,0.00072100,Merge+Bubble
10485760,6,0.74095200,0.00105200,0.74112400,0.00104600,Merge+Bubble
20971520,8,1.54858100,0.00234600,1.54887900,0.00235500,Merge+Bubble
41943040,6,3.22942700,0.00208300,3.23005800,0.00209000,Merge+Bubble
83886080,6,6.72577600,0.00527800,6.72710600,0.00529400,Merge+Bubble
167772160,8,13.96941400,0.00512600,13.97256300,0.00506800,Merge+Bubble
335544320,2,29.84265900,0.13935300,29.84458800,0.13943800,Merge+Bubble
671088640,6,60.41407200,0.03146500,60.42545500,0.03135200,Merge+Bubble
1342177280,8,128.73936500,0.92111200,136.60562000,3.96065700,Merge+Bubble
