Tamanho,Threshold,MediaCPU,DesvioCPU,MediaReal,DesvioReal,Algoritmo
3,-1,0.000000,0.000000,0.000000,0.000000,Merge
5,-1,0.000000,0.000000,0.000000,0.000000,Merge
10,-1,0.000000,0.000000,0.000000,0.000000,Merge
20,-1,0.000000,0.000000,0.000000,0.000000,Merge
40,-1,0.000000,0.000000,0.000001,0.000000,Merge
80,-1,0.000000,0.000000,0.000001,0.000000,Merge
160,-1,0.000001,0.000001,0.000002,0.000000,Merge
320,-1,0.000003,0.000001,0.000003,0.000001,Merge
640,-1,0.000008,0.000003,0.000008,0.000003,Merge
1280,-1,0.000030,0.000003,0.000031,0.000003,Merge
2560,-1,0.000081,0.000002,0.000081,0.000002,Merge
5120,-1,0.000184,0.000003,0.000185,0.000003,Merge
10240,-1,0.000404,0.000004,0.000404,0.000004,Merge
20480,-1,0.000896,0.000043,0.000896,0.000043,Merge
40960,-1,0.001929,0.000075,0.001929,0.000076,Merge
81920,-1,0.004103,0.000031,0.004104,0.000031,Merge
163840,-1,0.008687,0.000040,0.008687,0.000040,Merge
327680,-1,0.018371,0.000085,0.018373,0.000085,Merge
655360,-1,0.038702,0.000144,0.038705,0.000144,Merge
1310720,-1,0.081471,0.000215,0.081477,0.000215,Merge
2621440,-1,0.170824,0.000415,0.170835,0.000415,Merge
5242880,-1,0.359769,0.000983,0.359801,0.000986,Merge
10485760,-1,0.753898,0.002954,0.753953,0.002973,Merge
20971520,-1,1.572830,0.002899,1.572964,0.002893,Merge
41943040,-1,3.283181,0.004205,3.283546,0.004211,Merge
83886080,-1,6.828564,0.009087,6.829290,0.009049,Merge
167772160,-1,14.198215,0.019619,14.202376,0.033403,Merge
335544320,-1,30.192849,0.033294,30.195021,0.033422,Merge
671088640,-1,62.799119,0.778736,62.809696,0.777291,Merge
1342177280,-1,131.938960,1.101395,138.684080,4.332717,Merge
